Facades,Habitable Surface,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,Garden Exists,State of Building,Living Surface,EPC,Consumption Per m2,ANTWERPEN,BRUSSEL,HENEGOUWEN,LIMBURG,LUIK,LUXEMBURG,NAMEN,OOST-VLAANDEREN,VLAAMS-BRABANT,WAALS-BRABANT,WEST-VLAANDEREN
4.0,104.0,2.0,1.0,2.0,5.0,1.0,0,1,42.0,1,4.0,38.5,8.0,38.0,0,0,0,0,0,1,0,0,0,0,0
2.0,59.0,1.0,1.0,1.0,3.0,1.0,0,1,18.0,0,4.0,32.92857142857143,6.0,164.60368932038836,0,0,0,0,0,0,0,0,0,0,1
2.0,117.0,3.0,1.0,1.0,5.0,1.0,0,1,12.0,1,6.0,38.5,7.0,105.22727272727272,0,0,0,0,0,1,0,0,0,0,0
2.0,80.0,2.0,1.0,1.0,4.0,1.0,0,0,17.80544747081712,0,4.0,41.48275862068966,7.0,73.0,1,0,0,0,0,0,0,0,0,0,0
2.0,110.0,2.0,1.0,3.0,6.0,1.0,0,1,50.0,0,4.0,30.0,4.0,370.0,0,0,0,0,0,0,0,0,0,0,1
2.0,59.0,1.0,1.0,1.0,3.0,2.0,0,0,12.023584905660377,0,6.0,20.0,4.0,175.0,0,1,0,0,0,0,0,0,0,0,0
2.0,103.0,2.0,1.0,2.0,5.0,3.0,0,1,36.0,0,6.0,45.0,7.0,80.43838983050847,0,0,0,0,0,0,0,1,0,0,0
2.0,33.0,0.0,1.0,1.0,2.0,1.0,0,0,13.392523364485982,0,4.0,30.75675675675676,5.0,207.0,0,0,0,0,0,0,0,0,0,0,1
4.0,103.0,2.0,1.0,1.0,4.0,0.0,0,1,9.0,0,6.0,45.0,7.0,144.18260869565216,0,0,0,0,1,0,0,0,0,0,0
2.0,71.0,1.0,1.0,1.0,3.0,3.0,0,1,9.578212290502794,0,6.0,31.0,6.0,86.0,0,1,0,0,0,0,0,0,0,0,0
2.0,86.0,2.0,1.0,1.0,4.0,0.0,0,1,3.0,0,2.0,33.0,5.0,269.0,1,0,0,0,0,0,0,0,0,0,0
2.0,123.0,2.0,1.0,1.0,3.0,1.0,0,1,34.0,0,4.0,32.92857142857143,6.0,164.60368932038836,0,0,0,0,0,0,0,0,0,0,1
2.0,61.0,1.0,1.0,1.0,1.0,3.0,0,1,7.0,0,6.0,29.252225519287837,4.0,218.1075692963753,0,1,0,0,0,0,0,0,0,0,0
2.0,89.0,2.0,1.0,1.0,4.0,0.0,0,1,6.0,0,6.0,36.0,7.0,97.72115384615384,0,0,0,0,0,1,0,0,0,0,0
4.0,65.0,1.0,1.0,1.0,3.0,3.0,0,0,9.578212290502794,0,6.0,20.0,2.0,327.0,0,1,0,0,0,0,0,0,0,0,0
2.0,200.0,3.0,1.0,2.0,6.0,3.0,0,1,21.0,0,4.0,46.0,6.0,134.0,0,0,0,0,0,0,0,0,1,0,0
3.0,113.0,2.0,2.0,2.0,2.0,0.0,0,1,12.0,0,6.0,43.892857142857146,9.0,58.52941176470589,0,0,0,0,0,0,0,0,0,1,0
2.0,91.0,2.0,1.0,1.0,4.0,1.0,0,1,14.0,1,4.0,38.5,7.0,59.0,0,0,0,0,0,1,0,0,0,0,0
2.0,91.0,2.0,1.0,1.0,4.0,1.0,0,1,10.0,0,4.0,36.0,7.0,81.0,0,0,0,0,0,1,0,0,0,0,0
2.0,64.0,1.0,1.0,1.0,3.0,3.0,0,1,5.0,0,6.0,27.0,6.0,95.0,0,0,0,0,0,0,0,0,0,1,0
4.0,129.0,3.0,2.0,1.0,6.0,3.0,0,0,12.023584905660377,0,6.0,33.66778523489933,5.0,202.54992167101827,0,1,0,0,0,0,0,0,0,0,0
2.0,105.0,1.0,1.0,1.0,3.0,1.0,0,1,15.0,0,4.0,31.515873015873016,7.0,80.43838983050847,0,0,0,0,0,0,0,1,0,0,0
2.0,99.0,3.0,1.0,1.0,4.0,1.0,0,0,13.03045685279188,0,4.0,29.765217391304347,5.0,274.0,0,0,0,0,0,0,0,1,0,0,0
4.0,86.0,2.0,1.0,1.0,3.0,1.0,0,0,13.971428571428572,0,6.0,34.053763440860216,7.0,95.80851063829788,0,0,1,0,0,0,0,0,0,0,0
3.0,43.0,1.0,1.0,1.0,2.0,3.0,0,0,12.257575757575758,0,6.0,29.20289855072464,6.0,177.78571428571428,0,0,1,0,0,0,0,0,0,0,0
2.0,87.0,2.0,1.0,1.0,4.0,3.0,0,1,7.0,1,6.0,26.0,6.0,163.68421052631578,0,0,0,0,0,0,0,1,0,0,0
2.0,42.0,1.0,1.0,1.0,3.0,3.0,0,1,5.0,0,4.0,20.0,3.0,239.0,0,1,0,0,0,0,0,0,0,0,0
4.0,102.0,2.0,1.0,1.0,4.0,1.0,0,1,15.0,0,6.0,40.0,6.0,90.0,0,0,1,0,0,0,0,0,0,0,0
3.0,100.0,2.0,1.0,2.0,5.0,3.0,0,1,8.0,0,6.0,34.0,7.0,99.62162162162164,0,0,0,0,0,0,0,0,0,1,0
2.0,41.0,1.0,1.0,1.0,2.0,1.0,0,0,8.333333333333334,0,4.0,24.181818181818183,3.0,409.0,0,0,0,0,0,0,0,0,0,0,1
2.0,115.0,3.0,2.0,2.0,7.0,3.0,0,1,6.0,0,6.0,27.0,2.0,501.0,0,0,0,0,0,0,0,0,1,0,0
2.0,85.0,2.0,1.0,1.0,4.0,1.0,0,1,2.0,0,4.0,25.0,3.0,215.0,0,1,0,0,0,0,0,0,0,0,0
4.0,79.0,1.0,1.0,1.0,3.0,1.0,0,1,13.0,1,6.0,40.0,6.0,378.2321428571428,0,0,0,0,0,0,0,0,0,1,0
2.0,66.0,1.0,1.0,1.0,2.0,3.0,0,1,12.0,0,6.0,28.0,6.0,95.0,0,1,0,0,0,0,0,0,0,0,0
4.0,102.0,2.0,1.0,2.0,5.0,3.0,0,0,25.807692307692307,0,6.0,36.0,7.0,83.0,0,0,0,0,0,0,0,0,1,0,0
4.0,90.0,2.0,1.0,1.0,4.0,0.0,0,1,4.0,0,6.0,34.053763440860216,6.0,104.0,0,0,1,0,0,0,0,0,0,0,0
4.0,129.0,3.0,1.0,1.0,5.0,3.0,0,1,20.0,0,6.0,47.296875,6.0,125.9964,0,1,0,0,0,0,0,0,0,0,0
2.0,35.0,1.0,1.0,1.0,3.0,2.0,1,1,3.0,0,4.0,17.0,5.0,229.0,0,0,0,0,1,0,0,0,0,0,0
2.0,138.0,3.0,2.0,2.0,7.0,3.0,0,1,40.0,0,6.0,38.8,6.0,132.2969696969697,0,0,0,0,0,0,0,0,0,0,1
2.0,90.0,2.0,1.0,1.0,4.0,3.0,0,1,8.0,0,6.0,39.0,7.0,80.43838983050847,0,0,0,0,0,0,0,1,0,0,0
2.0,73.48758865248227,2.0,1.0,1.0,4.0,3.0,0,1,6.0,0,6.0,29.252225519287837,4.0,218.1075692963753,0,1,0,0,0,0,0,0,0,0,0
4.0,107.0,3.0,1.0,2.0,6.0,1.0,0,0,12.023584905660377,0,6.0,33.66778523489933,5.0,112.0,0,1,0,0,0,0,0,0,0,0,0
2.0,82.0,2.0,1.0,1.0,4.0,3.0,0,1,13.0,0,6.0,25.0,7.0,80.43838983050847,0,0,0,0,0,0,0,1,0,0,0
4.0,107.0,2.0,2.0,1.0,4.0,3.0,0,1,11.0,0,6.0,56.072463768115945,6.0,133.041484375,0,1,0,0,0,0,0,0,0,0,0
4.0,71.0,1.0,1.0,1.0,2.0,2.0,0,1,8.987179487179487,1,4.0,36.0,6.0,50.0,0,1,0,0,0,0,0,0,0,0,0
2.0,102.0,2.0,1.0,2.0,5.0,2.0,0,1,13.392523364485982,0,4.0,36.0,5.0,240.0,0,0,0,0,0,0,0,0,0,0,1
3.0,55.0,1.0,1.0,1.0,3.0,3.0,0,1,7.0,0,4.0,29.252225519287837,6.0,46.0,0,1,0,0,0,0,0,0,0,0,0
2.0,130.0,3.0,2.0,2.0,7.0,3.0,1,1,15.0,0,6.0,40.0,3.0,234.0,0,1,0,0,0,0,0,0,0,0,0
2.0,61.0,1.0,1.0,1.0,1.0,1.0,0,1,6.0,0,6.0,30.59036144578313,7.0,84.30985915492958,0,0,0,0,0,0,1,0,0,0,0
2.0,68.0,1.0,1.0,1.0,1.0,1.0,0,1,6.0,0,6.0,30.59036144578313,7.0,84.30985915492958,0,0,0,0,0,0,1,0,0,0,0
